Sum of actual_lead_time_days,Sum of delay_days,Sum of base_lead_time_days,delivery_status,delay_days (bins),destination_city,disruption_event,Sum of geopolitical_risk_index,Sum of inflation_rate_pct,Sum of is_delayed,Sum of lead_time_variance_days,mitigation_action_taken,Sum of on_time_flag,order_date,Sum of order_weight_kg,order_id,origin_city,product_category,risk_band,Sum of risk_bucket,Sum of risk_score,route_type,Sum of scheduled_lead_time_days,Sum of shipping_cost_usd,transportation_mode,Sum of weather_severity_index
8,3,2,Late,0,"New York, US",Port Congestion,0.71,3.29,1,3,Expedited Air Freight,0,2025-12-13 00:00:00,1406,ORD-C828902E,"Hamburg, DE",Semiconductors,Low,1,1.958,Atlantic,5,21818.66,Air,2.8
7,2,2,Late,0,"New York, US",Port Congestion,0.78,2,1,2,Expedited Air Freight,0,2025-12-28 00:00:00,2228,ORD-4A7B4552,"Hamburg, DE",Semiconductors,Low,1,1.241,Atlantic,5,35990,Air,1.4
18,3,12,Late,0,"New York, US",Port Congestion,0.71,3.62,1,3,Standard Shipping,0,2024-02-27 00:00:00,6802,ORD-8C454BF7,"Hamburg, DE",Raw Materials,High,3,3.529,Atlantic,15,6397.28,Sea,7.1
16,3,12,Late,0,"New York, US",Port Congestion,0.35,3.13,1,3,Standard Shipping,0,2024-04-27 00:00:00,4732,ORD-781DEC58,"Hamburg, DE",Auto Parts,Low,1,1.064,Atlantic,13,3513.51,Sea,0.8
18,4,12,Late,0,"New York, US",Port Congestion,0.31,4.12,1,4,Standard Shipping,0,2024-06-07 00:00:00,2550,ORD-982F3F15,"Hamburg, DE",Auto Parts,High,3,4.219,Atlantic,14,1837.28,Sea,9.3
17,2,12,Late,0,"New York, US",Port Congestion,0.64,2.01,1,2,Standard Shipping,0,2024-06-13 00:00:00,7910,ORD-7E71330B,"Hamburg, DE",Perishable Foods,Medium,2,2.65,Atlantic,15,7134.82,Sea,5.6
17,2,12,Late,0,"New York, US",Port Congestion,0.17,3.49,1,2,Standard Shipping,0,2024-07-20 00:00:00,6504,ORD-9410752F,"Hamburg, DE",Textiles,Low,1,2,Atlantic,15,4185.32,Sea,3.5
19,4,12,Late,0,"New York, US",Port Congestion,0.74,2.18,1,4,Standard Shipping,0,2024-08-29 00:00:00,4778,ORD-2B0F92E2,"Hamburg, DE",Auto Parts,High,3,3.674,Atlantic,15,4572.55,Sea,8.3
15,1,12,Late,0,"New York, US",Port Congestion,0.34,3.83,1,1,Standard Shipping,0,2024-10-20 00:00:00,697,ORD-13E7EE26,"Hamburg, DE",Perishable Foods,Medium,2,2.564,Atlantic,14,513.69,Sea,4.7
15,2,12,Late,0,"New York, US",Port Congestion,0.44,2.85,1,2,Standard Shipping,0,2024-11-11 00:00:00,7698,ORD-76624AC7,"Hamburg, DE",Perishable Foods,High,3,4.233,Atlantic,13,6096.82,Sea,9.9
18,3,12,Late,0,"New York, US",Port Congestion,0.17,6.49,1,3,Standard Shipping,0,2024-11-28 00:00:00,5439,ORD-6D62B7BC,"Hamburg, DE",Perishable Foods,High,3,4.84,Atlantic,15,3499.99,Sea,9.9
17,4,12,Late,0,"New York, US",Port Congestion,0.55,3.71,1,4,Standard Shipping,0,2025-01-17 00:00:00,5728,ORD-1AC75781,"Hamburg, DE",Auto Parts,High,3,3.545,Atlantic,13,4883.12,Sea,7.3
17,4,12,Late,0,"New York, US",Port Congestion,0.27,2.2,1,4,Standard Shipping,0,2025-02-13 00:00:00,3479,ORD-4A96CA45,"Hamburg, DE",Textiles,Low,1,0.842,Atlantic,13,2430.08,Sea,0.8
18,3,12,Late,0,"New York, US",Port Congestion,0.72,1.77,1,3,Standard Shipping,0,2025-03-02 00:00:00,9135,ORD-AC1D6EA3,"Hamburg, DE",Textiles,Low,1,1.623,Atlantic,15,8641.71,Sea,2.7
15,1,12,Late,0,"New York, US",Port Congestion,0.4,3.4,1,1,Standard Shipping,0,2025-03-20 00:00:00,7647,ORD-29E9B1F0,"Hamburg, DE",Perishable Foods,Low,1,2.05,Atlantic,14,5888.19,Sea,3.4
16,2,12,Late,0,"New York, US",Port Congestion,0.53,4.61,1,2,Standard Shipping,0,2025-04-23 00:00:00,2915,ORD-78C1ADA3,"Hamburg, DE",Perishable Foods,Medium,2,2.106,Atlantic,14,2452.97,Sea,2.7
16,1,12,Late,0,"New York, US",Port Congestion,0.57,3.12,1,1,Standard Shipping,0,2025-05-11 00:00:00,4628,ORD-974084CF,"Hamburg, DE",Consumer Electronics,High,3,3.786,Atlantic,15,3996.28,Sea,8.3
17,2,12,Late,0,"New York, US",Port Congestion,0.42,4.56,1,2,Standard Shipping,0,2025-05-19 00:00:00,6454,ORD-0815F5FB,"Hamburg, DE",Auto Parts,Low,1,1.381,Atlantic,15,5040.57,Sea,0.8
14,1,12,Late,0,"New York, US",Port Congestion,0.2,3.85,1,1,Standard Shipping,0,2025-06-01 00:00:00,9381,ORD-866C81C7,"Hamburg, DE",Raw Materials,Low,1,1.49,Atlantic,13,6191.46,Sea,1.8
19,4,12,Late,0,"New York, US",Port Congestion,0.19,4.51,1,4,Standard Shipping,0,2025-07-01 00:00:00,7933,ORD-36089AC5,"Hamburg, DE",Perishable Foods,Low,1,1.443,Atlantic,15,5192.15,Sea,1.3
18,4,12,Late,0,"New York, US",Port Congestion,0.24,3.22,1,4,Standard Shipping,0,2025-11-15 00:00:00,1009,ORD-263A5423,"Hamburg, DE",Textiles,Low,1,0.822,Atlantic,14,688.14,Sea,0.2
16,1,12,Late,0,"New York, US",Port Congestion,0.63,2.02,1,1,Standard Shipping,0,2025-12-20 00:00:00,9387,ORD-8F862D99,"Hamburg, DE",Textiles,High,3,3.663,Atlantic,15,8415.44,Sea,8.5
30,1,28,Late,0,"Rotterdam, NL",None,0.22,4.48,1,1,Standard Shipping,0,2024-01-24 00:00:00,406,ORD-C28C5F4E,"Shenzhen, CN",Textiles,Medium,2,2.22,Suez,29,247.66,Sea,3.5
5,1,3,Late,0,"Rotterdam, NL",None,0.11,2.74,1,1,Standard Shipping,0,2024-11-08 00:00:00,6331,ORD-6DDB13BD,"Shenzhen, CN",Pharmaceuticals,High,3,3.818,Suez,4,38650.76,Air,9.2
30,1,28,Late,0,"Rotterdam, NL",None,0.89,3.21,1,1,Standard Shipping,0,2025-02-11 00:00:00,4534,ORD-7AB52701,"Shenzhen, CN",Consumer Electronics,High,3,4.123,Suez,29,4284.63,Sea,8.8
30,1,28,Late,0,"Rotterdam, NL",None,0.75,2.24,1,1,Standard Shipping,0,2026-01-02 00:00:00,4426,ORD-8BC1DB50,"Shenzhen, CN",Textiles,Medium,2,2.851,Suez,29,3872.75,Sea,5.9
10,3,4,Late,0,"Shanghai, CN",Port Congestion,0.85,4.11,1,3,Expedited Air Freight,0,2024-01-20 00:00:00,9845,ORD-26C2B4AA,"Santos, BR",Pharmaceuticals,High,3,4.6,Commodity,7,165285.25,Air,9.7
10,3,4,Late,0,"Shanghai, CN",Port Congestion,0.73,3.88,1,3,Expedited Air Freight,0,2024-03-11 00:00:00,455,ORD-FBC79A45,"Santos, BR",Semiconductors,Medium,2,2.54,Commodity,7,7143.38,Air,4.1
41,3,35,Late,0,"Shanghai, CN",Port Congestion,0.67,3.83,1,3,Expedited Air Freight,0,2024-03-18 00:00:00,7889,ORD-9605F93C,"Santos, BR",Semiconductors,High,3,3.798,Commodity,38,10869.06,Sea,7.8
11,4,4,Late,0,"Shanghai, CN",Port Congestion,0.58,4.89,1,4,Expedited Air Freight,0,2024-05-14 00:00:00,4549,ORD-CA32D520,"Santos, BR",Semiconductors,Low,1,1.449,Commodity,7,65225.84,Air,0.6
9,2,4,Late,0,"Shanghai, CN",Port Congestion,0.61,3.36,1,2,Expedited Air Freight,0,2025-05-19 00:00:00,5450,ORD-6AF8A4FD,"Santos, BR",Semiconductors,Medium,2,2.697,Commodity,7,79628.59,Air,5
40,2,35,Late,0,"Shanghai, CN",Port Congestion,0.27,2.42,1,2,Standard Shipping,0,2024-04-25 00:00:00,4213,ORD-B3040D13,"Santos, BR",Auto Parts,Medium,2,2.776,Commodity,38,2942.79,Sea,6.2
39,1,35,Late,0,"Shanghai, CN",Port Congestion,0.56,3.44,1,1,Standard Shipping,0,2024-10-29 00:00:00,3679,ORD-B601A4E0,"Santos, BR",Textiles,Low,1,1.71,Commodity,38,3156.58,Sea,2.2
41,3,35,Late,0,"Shanghai, CN",Port Congestion,0.27,4.89,1,3,Standard Shipping,0,2025-02-16 00:00:00,5975,ORD-2600DB5B,"Santos, BR",Perishable Foods,Medium,2,2.43,Commodity,38,4173.53,Sea,3.8
39,2,35,Late,0,"Shanghai, CN",Port Congestion,0.61,2.11,1,2,Standard Shipping,0,2025-04-01 00:00:00,3431,ORD-F74686D2,"Santos, BR",Raw Materials,High,3,3.392,Commodity,37,3038.14,Sea,7.7
40,4,35,Late,0,"Shanghai, CN",Port Congestion,0.84,3.88,1,4,Standard Shipping,0,2025-04-14 00:00:00,7758,ORD-5F95B9EC,"Santos, BR",Raw Materials,Low,1,1.259,Commodity,36,7851.1,Sea,0.3
38,1,35,Late,0,"Shanghai, CN",Port Congestion,0.88,3.5,1,1,Standard Shipping,0,2025-05-31 00:00:00,3345,ORD-751A5C44,"Santos, BR",Raw Materials,Medium,2,2.461,Commodity,37,3458.73,Sea,3.9
40,4,35,Late,0,"Shanghai, CN",Port Congestion,0.49,3.77,1,4,Standard Shipping,0,2025-06-18 00:00:00,7334,ORD-21EC8CBA,"Santos, BR",Auto Parts,Medium,2,2.865,Commodity,36,6010.21,Sea,5.4
38,2,35,Late,0,"Shanghai, CN",Port Congestion,0.29,5.55,1,2,Standard Shipping,0,2025-08-31 00:00:00,7089,ORD-94DF3B32,"Santos, BR",Raw Materials,Medium,2,2.886,Commodity,36,5029.64,Sea,4.7
38,1,35,Late,0,"Shanghai, CN",Port Congestion,0.63,4.83,1,1,Standard Shipping,0,2025-10-16 00:00:00,1798,ORD-211E7F83,"Santos, BR",Textiles,Medium,2,2.72,Commodity,37,1611.91,Sea,4.2
41,4,35,Late,0,"Shanghai, CN",Port Congestion,0.16,2.74,1,4,Standard Shipping,0,2025-10-18 00:00:00,8818,ORD-BE824FEE,"Santos, BR",Perishable Foods,Low,1,0.76,Commodity,37,5625.88,Sea,0.4
40,3,35,Late,0,"Shanghai, CN",Port Congestion,0.29,2.58,1,3,Standard Shipping,0,2025-11-10 00:00:00,2268,ORD-FC642F95,"Santos, BR",Perishable Foods,Medium,2,3.097,Commodity,37,1609.15,Sea,7
38,2,35,Late,0,"Shanghai, CN",Port Congestion,0.17,3.13,1,2,Standard Shipping,0,2025-12-13 00:00:00,7406,ORD-4A17C9DC,"Santos, BR",Raw Materials,Medium,2,2.383,Commodity,36,4765.76,Sea,4.8
9,1,7,Late,0,"Singapore, SG",None,0.16,6.58,1,1,Standard Shipping,0,2024-02-26 00:00:00,7217,ORD-00A6839C,"Tokyo, JP",Semiconductors,High,3,4.468,Intra-Asia,8,4185.86,Sea,8.8
9,1,7,Late,0,"Singapore, SG",None,0.39,5.72,1,1,Standard Shipping,0,2024-05-30 00:00:00,691,ORD-758DDAA7,"Tokyo, JP",Perishable Foods,Medium,2,2.3,Intra-Asia,8,480.25,Sea,2.8
4,1,2,Late,0,"Singapore, SG",None,0.49,-0.12,1,1,Standard Shipping,0,2024-06-20 00:00:00,7299,ORD-28BB1F35,"Tokyo, JP",Pharmaceuticals,Medium,2,2.962,Intra-Asia,3,59815.31,Air,7.9
9,1,7,Late,0,"Singapore, SG",None,0.44,2,1,1,Standard Shipping,0,2024-08-03 00:00:00,7317,ORD-A0772AB4,"Tokyo, JP",Perishable Foods,Low,1,1.998,Intra-Asia,8,5268.24,Sea,4
9,1,7,Late,0,"Singapore, SG",None,0.58,2.73,1,1,Standard Shipping,0,2024-09-16 00:00:00,2825,ORD-F671829D,"Tokyo, JP",Auto Parts,Low,1,1.122,Intra-Asia,8,2231.75,Sea,0.9
9,1,7,Late,0,"Singapore, SG",None,0.25,3.67,1,1,Standard Shipping,0,2024-12-16 00:00:00,8313,ORD-98B457F7,"Tokyo, JP",Perishable Foods,Medium,2,3.052,Intra-Asia,8,5195.62,Sea,6.3
10,1,7,Late,0,"Singapore, SG",None,0.82,2.42,1,1,Standard Shipping,0,2025-03-16 00:00:00,964,ORD-36BF7EBF,"Tokyo, JP",Auto Parts,Medium,2,2.638,Intra-Asia,9,877.24,Sea,5.1
5,1,2,Late,0,"Singapore, SG",Port Congestion,0.47,2.24,1,1,Expedited Air Freight,0,2024-01-24 00:00:00,9830,ORD-76C2A636,"Tokyo, JP",Pharmaceuticals,High,3,3.705,Intra-Asia,4,131134.66,Air,8.7
12,4,7,Late,0,"Singapore, SG",Port Congestion,0.79,1.59,1,4,Expedited Air Freight,0,2024-03-25 00:00:00,3313,ORD-2F250C5B,"Tokyo, JP",Semiconductors,Low,1,1.794,Intra-Asia,8,4892.48,Sea,3.2
5,2,2,Late,0,"Singapore, SG",Port Congestion,0.66,2.54,1,2,Expedited Air Freight,0,2024-05-31 00:00:00,9478,ORD-272D32FA,"Tokyo, JP",Semiconductors,High,3,4.025,Intra-Asia,3,142781.33,Air,9.2
4,1,2,Late,0,"Singapore, SG",Port Congestion,0.23,3.45,1,1,Expedited Air Freight,0,2025-02-21 00:00:00,2273,ORD-7DB7ADB9,"Tokyo, JP",Pharmaceuticals,Low,1,1.179,Intra-Asia,3,25371.79,Air,1.1
12,2,7,Late,0,"Singapore, SG",Port Congestion,0.64,3.09,1,2,Standard Shipping,0,2024-02-12 00:00:00,4644,ORD-33D3E3D6,"Tokyo, JP",Consumer Electronics,High,3,3.986,Intra-Asia,10,4188.89,Sea,8.8
10,1,7,Late,0,"Singapore, SG",Port Congestion,0.6,3.44,1,1,Standard Shipping,0,2024-02-17 00:00:00,3844,ORD-9C5D2AD0,"Tokyo, JP",Raw Materials,Low,1,1.553,Intra-Asia,9,3382.72,Sea,1.7
11,1,7,Late,0,"Singapore, SG",Port Congestion,0.26,1.92,1,1,Standard Shipping,0,2024-02-23 00:00:00,3693,ORD-9DA247F7,"Tokyo, JP",Textiles,High,3,3.966,Intra-Asia,10,2559.25,Sea,9.9
14,4,7,Late,0,"Singapore, SG",Port Congestion,0.59,3.67,1,4,Standard Shipping,0,2024-02-28 00:00:00,2030,ORD-CDB93DD6,"Tokyo, JP",Consumer Electronics,High,3,4.43,Intra-Asia,10,1775.24,Sea,9.8
13,4,7,Late,0,"Singapore, SG",Port Congestion,0.27,1.44,1,4,Standard Shipping,0,2024-03-20 00:00:00,5683,ORD-0FA79669,"Tokyo, JP",Textiles,Low,1,1.81,Intra-Asia,9,3969.57,Sea,4
12,4,7,Late,0,"Singapore, SG",Port Congestion,0.1,2.6,1,4,Standard Shipping,0,2024-04-29 00:00:00,4143,ORD-85C60821,"Tokyo, JP",Textiles,Low,1,1.265,Intra-Asia,8,2506.52,Sea,2
11,2,7,Late,0,"Singapore, SG",Port Congestion,0.82,2.96,1,2,Standard Shipping,0,2025-01-22 00:00:00,5627,ORD-69C00305,"Tokyo, JP",Consumer Electronics,Low,1,1.346,Intra-Asia,9,5632.63,Sea,1.1
11,3,7,Late,0,"Singapore, SG",Port Congestion,0.13,3.63,1,3,Standard Shipping,0,2025-02-16 00:00:00,8032,ORD-CFA4DFC1,"Tokyo, JP",Consumer Electronics,Low,1,1.87,Intra-Asia,8,4991.89,Sea,3.1
11,3,7,Late,0,"Singapore, SG",Port Congestion,0.11,0.95,1,3,Standard Shipping,0,2025-02-27 00:00:00,4543,ORD-74E9518C,"Tokyo, JP",Consumer Electronics,High,3,3.39,Intra-Asia,8,2773.51,Sea,9
13,3,7,Late,0,"Singapore, SG",Port Congestion,0.52,2.16,1,3,Standard Shipping,0,2025-03-03 00:00:00,9500,ORD-80A1ECA6,"Tokyo, JP",Textiles,Medium,2,2.416,Intra-Asia,10,7942,Sea,5
11,2,7,Late,0,"Singapore, SG",Port Congestion,0.87,3.69,1,2,Standard Shipping,0,2025-03-28 00:00:00,488,ORD-A8A9EA22,"Tokyo, JP",Consumer Electronics,Medium,2,2.25,Intra-Asia,9,501.91,Sea,3.2
11,2,7,Late,0,"Singapore, SG",Port Congestion,0.32,2.15,1,2,Standard Shipping,0,2025-06-14 00:00:00,7620,ORD-895F1BE6,"Tokyo, JP",Auto Parts,Low,1,1.729,Intra-Asia,9,5532.12,Sea,3.3
13,3,7,Late,0,"Singapore, SG",Port Congestion,0.37,2.24,1,3,Standard Shipping,0,2025-11-26 00:00:00,5691,ORD-CFAA7C2E,"Tokyo, JP",Auto Parts,Low,1,1.735,Intra-Asia,10,4288.17,Sea,3.2
12,2,7,Late,0,"Singapore, SG",Port Congestion,0.26,3.47,1,2,Standard Shipping,0,2025-12-15 00:00:00,7699,ORD-520FE85A,"Tokyo, JP",Auto Parts,Medium,2,2.736,Intra-Asia,10,5335.41,Sea,5.5
8,4,2,Late,0,"Singapore, SG",Severe Weather (Typhoon/Storm),0.41,3.1,1,4,Expedited Air Freight,0,2025-07-09 00:00:00,163,ORD-D657280A,"Tokyo, JP",Pharmaceuticals,Low,1,1.295,Intra-Asia,4,2275.31,Air,1.4
