Order_ID,Order_Date,Origin_City,Destination_City,Route_Type,Transportation_Mode,Product_Category,Base_Lead_Time_Days,Scheduled_Lead_Time_Days,Actual_Lead_Time_Days,Delay_Days,Delivery_Status,Disruption_Event,Geopolitical_Risk_Index,Weather_Severity_Index,Inflation_Rate_Pct,Shipping_Cost_USD,Order_Weight_Kg,Mitigation_Action_Taken
ORD-358B0702,4/14/2025,"Shenzhen, CN","Rotterdam, NL",Suez,Sea,Consumer Electronics,28,31,39,8,Late,Geopolitical Conflict (Route Diversion),0.64,7.1,2.76,9950.21,7584,Re-routing
ORD-37E43ECB,4/30/2025,"Tokyo, JP","Singapore, SG",Intra-Asia,Sea,Textiles,7,10,7,0,On Time,None,0.74,5,3.93,7899.6,9080,Standard Shipping
ORD-88909D01,3/11/2025,"Hamburg, DE","New York, US",Atlantic,Sea,Perishable Foods,12,14,12,0,On Time,None,0.11,1.5,5.88,2501.39,4507,Standard Shipping
ORD-4CB1E7FD,11/25/2024,"Tokyo, JP","Singapore, SG",Intra-Asia,Sea,Consumer Electronics,7,9,6,0,On Time,None,0.31,4.9,3.23,2209.97,3374,Standard Shipping
ORD-BB2427A8,9/3/2025,"Tokyo, JP","Singapore, SG",Intra-Asia,Sea,Perishable Foods,7,10,17,7,Late,Severe Weather (Typhoon/Storm),0.77,3.2,3.85,690.3,650,Standard Shipping
ORD-4979D2B8,3/23/2025,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Consumer Electronics,18,21,17,0,On Time,None,0.87,8.4,3.44,2897.57,3099,Standard Shipping
ORD-9141F2E9,3/4/2025,"Hamburg, DE","New York, US",Atlantic,Air,Semiconductors,2,4,2,0,On Time,None,0.7,4.1,3.96,30742.8,3288,Standard Shipping
ORD-589AD0E2,10/19/2025,"Hamburg, DE","New York, US",Atlantic,Sea,Semiconductors,12,14,12,0,On Time,None,0.59,2,2.69,1160.7,1460,Standard Shipping
ORD-0F2972D6,7/24/2025,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Pharmaceuticals,18,21,19,0,On Time,None,0.22,3.1,4.5,3631.33,5953,Standard Shipping
ORD-28189C73,8/29/2025,"Tokyo, JP","Singapore, SG",Intra-Asia,Air,Pharmaceuticals,2,4,2,0,On Time,None,0.54,4.7,3.43,19557.23,2309,Standard Shipping
ORD-2F57A3C6,8/22/2025,"Shenzhen, CN","Rotterdam, NL",Suez,Air,Pharmaceuticals,3,5,21,16,Late,Geopolitical Conflict (Route Diversion),0.43,1.6,3.66,27993.12,1483,Expedited Air Freight
ORD-F27C0335,1/19/2025,"Shenzhen, CN","Rotterdam, NL",Suez,Sea,Perishable Foods,28,31,29,0,On Time,None,0.41,1.5,2.1,4829.25,6850,Standard Shipping
ORD-BD00D4DE,8/9/2025,"Shenzhen, CN","Rotterdam, NL",Suez,Sea,Consumer Electronics,28,29,28,0,On Time,None,0.14,3.5,5.51,742.71,1303,Standard Shipping
ORD-0660A71E,8/26/2025,"Mumbai, IN","Felixstowe, UK",Suez,Sea,Perishable Foods,24,27,34,7,Late,Geopolitical Conflict (Route Diversion),0.36,3,3.72,8594.11,7899,Re-routing
ORD-586A6FD5,4/3/2025,"Mumbai, IN","Felixstowe, UK",Suez,Air,Semiconductors,3,5,2,0,On Time,None,0.22,5.2,4.29,19438.87,2897,Standard Shipping
ORD-4AC19E22,12/11/2024,"Hamburg, DE","New York, US",Atlantic,Air,Pharmaceuticals,2,5,2,0,On Time,None,0.54,0.3,2.3,10485.86,1238,Standard Shipping
ORD-962AA7AF,7/8/2024,"Santos, BR","Shanghai, CN",Commodity,Sea,Auto Parts,35,38,33,0,On Time,None,0.46,7.5,4.19,648.97,889,Standard Shipping
ORD-EC248C6F,1/5/2024,"Shenzhen, CN","Rotterdam, NL",Suez,Sea,Consumer Electronics,28,29,25,0,On Time,None,0.27,8.8,4.11,5576.57,8782,Standard Shipping
ORD-4C3397A3,4/25/2025,"Shenzhen, CN","Rotterdam, NL",Suez,Sea,Auto Parts,28,29,28,0,On Time,None,0.53,8.7,2.26,5407.78,7069,Standard Shipping
ORD-A42A4213,3/6/2024,"Hamburg, DE","New York, US",Atlantic,Sea,Textiles,12,13,12,0,On Time,None,0.9,8.1,4.36,7839.4,8252,Standard Shipping
ORD-EC714B6A,3/30/2024,"Mumbai, IN","Felixstowe, UK",Suez,Sea,Consumer Electronics,24,27,24,0,On Time,None,0.52,5.2,2.97,1570.92,2067,Standard Shipping
ORD-5B309CD1,8/14/2024,"Mumbai, IN","Felixstowe, UK",Suez,Sea,Perishable Foods,24,25,24,0,On Time,None,0.8,6.5,3.74,1462.5,1625,Standard Shipping
ORD-05E3E5EE,9/29/2025,"Hamburg, DE","New York, US",Atlantic,Sea,Pharmaceuticals,12,15,12,0,On Time,None,0.38,1.6,2.75,376.05,545,Standard Shipping
ORD-DC247DDF,3/20/2024,"Tokyo, JP","Singapore, SG",Intra-Asia,Sea,Raw Materials,7,10,7,0,On Time,None,0.54,5.7,3.85,3615.15,4695,Standard Shipping
ORD-54D456E1,12/18/2024,"Shenzhen, CN","Rotterdam, NL",Suez,Sea,Pharmaceuticals,28,30,28,0,On Time,None,0.18,2.6,3.61,1340.48,2272,Standard Shipping
ORD-FAD88C94,1/12/2024,"Hamburg, DE","New York, US",Atlantic,Sea,Auto Parts,12,13,12,0,On Time,None,0.62,1.1,3.64,2542.59,3139,Standard Shipping
ORD-CD46E977,9/27/2025,"Mumbai, IN","Felixstowe, UK",Suez,Sea,Textiles,24,25,24,0,On Time,None,0.23,2.6,3.59,3231.21,5254,Standard Shipping
ORD-B8E7CF2F,11/26/2025,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Consumer Electronics,18,20,18,0,On Time,None,0.15,2.4,4.33,202.4,352,Standard Shipping
ORD-C6A1071F,6/19/2025,"Mumbai, IN","Felixstowe, UK",Suez,Air,Semiconductors,3,6,3,0,On Time,None,0.35,4.6,3.27,43354.58,5839,Standard Shipping
ORD-B1DD487E,1/18/2025,"Santos, BR","Shanghai, CN",Commodity,Sea,Raw Materials,35,36,34,0,On Time,None,0.59,5.9,2.66,4196.01,5278,Standard Shipping
ORD-78CE4FB4,6/14/2025,"Hamburg, DE","New York, US",Atlantic,Sea,Raw Materials,12,15,13,0,On Time,None,0.65,9.2,5.15,6857.4,8312,Standard Shipping
ORD-641CDE8B,9/4/2024,"Hamburg, DE","New York, US",Atlantic,Sea,Textiles,12,13,18,5,Late,Port Congestion,0.8,2.8,5.53,7182.45,7255,Standard Shipping
ORD-3FCFD40A,6/15/2024,"Mumbai, IN","Felixstowe, UK",Suez,Sea,Textiles,24,25,24,0,On Time,None,0.36,9,3.43,4709.68,6926,Standard Shipping
ORD-52349C2B,11/7/2024,"Tokyo, JP","Singapore, SG",Intra-Asia,Sea,Textiles,7,8,7,0,On Time,None,0.23,1.2,5.62,1195.56,1944,Standard Shipping
ORD-1BD5CC16,7/17/2024,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Auto Parts,18,21,18,0,On Time,None,0.12,5.8,3.63,2828.56,5051,Standard Shipping
ORD-DE4611B5,9/30/2024,"Mumbai, IN","Felixstowe, UK",Suez,Sea,Consumer Electronics,24,25,24,0,On Time,None,0.72,1.8,2.78,3179.42,3697,Standard Shipping
ORD-4F7D5A42,12/25/2025,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Raw Materials,18,21,19,0,On Time,None,0.81,7.9,4.8,5974.81,6602,Standard Shipping
ORD-0649FFF7,10/7/2024,"Shenzhen, CN","Rotterdam, NL",Suez,Air,Semiconductors,3,6,3,0,On Time,None,0.87,1.4,2.05,45480.27,4422,Standard Shipping
ORD-5449C469,9/20/2025,"Santos, BR","Shanghai, CN",Commodity,Air,Pharmaceuticals,4,5,5,0,On Time,None,0.76,3.4,3.4,82492.96,8522,Standard Shipping
ORD-DA3A7093,10/22/2024,"Tokyo, JP","Singapore, SG",Intra-Asia,Sea,Perishable Foods,7,8,7,0,On Time,None,0.6,2.4,5.17,228.8,286,Standard Shipping
ORD-2633E643,8/5/2025,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Auto Parts,18,19,20,1,Late,None,0.67,3.6,3.39,5542.73,6638,Standard Shipping
ORD-6ADF16F5,2/5/2025,"Shenzhen, CN","Rotterdam, NL",Suez,Sea,Pharmaceuticals,28,30,28,0,On Time,None,0.39,6.4,2.47,4336.11,6239,Standard Shipping
ORD-E5E3BEB8,5/13/2025,"Tokyo, JP","Singapore, SG",Intra-Asia,Sea,Perishable Foods,7,10,6,0,On Time,None,0.23,4.1,4.74,1954.47,3178,Standard Shipping
ORD-5889C6FF,3/3/2024,"Hamburg, DE","New York, US",Atlantic,Sea,Semiconductors,12,15,19,4,Late,Port Congestion,0.74,6.4,3.11,9747.05,6790,Expedited Air Freight
ORD-2AC5BAC3,7/18/2025,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Textiles,18,21,18,0,On Time,None,0.9,0.2,2.02,1662.5,1750,Standard Shipping
ORD-4B1C4A29,9/24/2024,"Shenzhen, CN","Rotterdam, NL",Suez,Sea,Perishable Foods,28,31,28,0,On Time,None,0.86,3.8,4.75,772.83,831,Standard Shipping
ORD-57E16182,3/13/2024,"Tokyo, JP","Singapore, SG",Intra-Asia,Sea,Perishable Foods,7,8,8,0,On Time,None,0.17,7.3,4.06,1064.12,1819,Standard Shipping
ORD-C2A9725D,3/11/2025,"Mumbai, IN","Felixstowe, UK",Suez,Sea,Pharmaceuticals,24,25,24,0,On Time,None,0.23,2.9,4.46,1973.54,3209,Standard Shipping
ORD-F246B9A3,2/24/2025,"Tokyo, JP","Singapore, SG",Intra-Asia,Sea,Textiles,7,9,7,0,On Time,None,0.78,6.5,5.47,226.06,254,Standard Shipping
ORD-776672D2,8/17/2024,"Hamburg, DE","New York, US",Atlantic,Sea,Textiles,12,15,12,0,On Time,None,0.12,3.1,3.34,4791.92,8557,Standard Shipping
ORD-3FEB78F2,8/14/2024,"Shenzhen, CN","Rotterdam, NL",Suez,Sea,Auto Parts,28,29,28,0,On Time,None,0.77,0.6,3.41,116.82,132,Standard Shipping
ORD-15745702,12/24/2024,"Mumbai, IN","Felixstowe, UK",Suez,Sea,Auto Parts,24,27,24,0,On Time,None,0.19,3.3,4.92,1292.34,2172,Standard Shipping
ORD-3E83737E,4/22/2024,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Perishable Foods,18,19,18,0,On Time,None,0.62,3.5,4.79,4081.59,5039,Standard Shipping
ORD-3DB21608,11/14/2025,"Hamburg, DE","New York, US",Atlantic,Sea,Semiconductors,12,13,12,0,On Time,None,0.83,3.5,2.51,6926.55,7570,Standard Shipping
ORD-ED7F314D,5/18/2025,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Perishable Foods,18,20,24,4,Late,Port Congestion,0.7,2.3,3.06,4157.01,4446,Standard Shipping
ORD-C8A6E953,7/3/2025,"Mumbai, IN","Felixstowe, UK",Suez,Sea,Consumer Electronics,24,26,24,0,On Time,None,0.42,1.8,3.13,5807.8,8180,Standard Shipping
ORD-EF07685E,7/13/2025,"Hamburg, DE","New York, US",Atlantic,Sea,Auto Parts,12,14,12,0,On Time,None,0.43,8,3.99,4172.74,5836,Standard Shipping
ORD-8DBB6ACD,3/27/2025,"Hamburg, DE","New York, US",Atlantic,Sea,Auto Parts,12,15,12,0,On Time,None,0.45,3.3,3.26,1587.75,2190,Standard Shipping
ORD-08C099F4,8/31/2024,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Textiles,18,20,18,0,On Time,None,0.6,2.3,3.46,7224.8,9031,Standard Shipping
ORD-4167B623,1/23/2024,"Shenzhen, CN","Rotterdam, NL",Suez,Sea,Pharmaceuticals,28,30,28,0,On Time,None,0.61,4,2.84,6121.22,7604,Standard Shipping
ORD-CEF2BCCA,10/23/2025,"Tokyo, JP","Singapore, SG",Intra-Asia,Sea,Raw Materials,7,9,7,0,On Time,None,0.83,8.5,4.02,7506.66,8204,Standard Shipping
ORD-8E87A6BB,7/9/2025,"Santos, BR","Shanghai, CN",Commodity,Sea,Perishable Foods,35,36,35,0,On Time,None,0.15,4,3.85,3170.55,5514,Standard Shipping
ORD-DF4D3749,10/16/2024,"Shenzhen, CN","Rotterdam, NL",Suez,Air,Semiconductors,3,6,3,0,On Time,None,0.56,6.1,6.39,47807.76,5572,Standard Shipping
ORD-480D39F8,10/12/2024,"Hamburg, DE","New York, US",Atlantic,Sea,Perishable Foods,12,14,12,0,On Time,None,0.61,6.6,3.39,2980.11,3702,Standard Shipping
ORD-97D6336F,12/27/2024,"Mumbai, IN","Felixstowe, UK",Suez,Sea,Textiles,24,25,22,0,On Time,None,0.32,6.3,1.82,5633.76,8536,Standard Shipping
ORD-F76C7734,11/26/2024,"Shanghai, CN","Los Angeles, US",Pacific,Air,Pharmaceuticals,2,5,2,0,On Time,None,0.22,9.7,3.05,11178.86,1666,Standard Shipping
ORD-42BA5874,3/14/2024,"Hamburg, DE","New York, US",Atlantic,Sea,Auto Parts,12,13,12,0,On Time,None,0.55,7.1,3.23,1147,1480,Standard Shipping
ORD-14786D3B,11/8/2024,"Santos, BR","Shanghai, CN",Commodity,Air,Pharmaceuticals,4,5,3,0,On Time,None,0.14,5.5,4.41,43720.71,6973,Standard Shipping
ORD-CFAA7C2E,11/26/2025,"Tokyo, JP","Singapore, SG",Intra-Asia,Sea,Auto Parts,7,10,13,3,Late,Port Congestion,0.37,3.2,2.24,4288.17,5691,Standard Shipping
ORD-02198048,4/2/2025,"Hamburg, DE","New York, US",Atlantic,Sea,Textiles,12,14,12,0,On Time,None,0.61,1.3,5.49,564.3,701,Standard Shipping
ORD-0433062E,3/9/2025,"Hamburg, DE","New York, US",Atlantic,Sea,Perishable Foods,12,14,13,0,On Time,None,0.51,7.3,3.98,3460.16,4583,Standard Shipping
ORD-05657734,1/25/2025,"Mumbai, IN","Felixstowe, UK",Suez,Sea,Auto Parts,24,26,24,0,On Time,None,0.65,7.7,6.18,6961.35,8438,Standard Shipping
ORD-4E7617D6,11/7/2025,"Mumbai, IN","Felixstowe, UK",Suez,Sea,Consumer Electronics,24,27,24,0,On Time,None,0.36,3.2,3.53,6706.16,9862,Standard Shipping
ORD-BF142EDE,4/3/2024,"Mumbai, IN","Felixstowe, UK",Suez,Sea,Textiles,24,27,26,0,On Time,None,0.71,9.6,0.1,2527.38,2956,Standard Shipping
ORD-BCEEA806,11/29/2024,"Tokyo, JP","Singapore, SG",Intra-Asia,Air,Pharmaceuticals,2,5,1,0,On Time,None,0.12,2.4,4.17,22293.04,3619,Standard Shipping
ORD-99823809,1/31/2025,"Hamburg, DE","New York, US",Atlantic,Air,Pharmaceuticals,2,3,3,0,On Time,None,0.72,7.2,5.3,42891.64,4534,Standard Shipping
ORD-817DFF49,9/18/2025,"Shenzhen, CN","Rotterdam, NL",Suez,Sea,Pharmaceuticals,28,30,29,0,On Time,None,0.53,7.3,2.75,4989.33,6522,Standard Shipping
ORD-A7729989,8/8/2025,"Shenzhen, CN","Rotterdam, NL",Suez,Sea,Auto Parts,28,31,28,0,On Time,None,0.21,8.2,2.75,1487.09,2458,Standard Shipping
ORD-24A2830A,11/7/2025,"Santos, BR","Shanghai, CN",Commodity,Air,Pharmaceuticals,4,7,4,0,On Time,None,0.73,9.4,4.06,44653.89,4693,Standard Shipping
ORD-B2C02923,4/14/2025,"Shenzhen, CN","Rotterdam, NL",Suez,Sea,Auto Parts,28,31,28,0,On Time,None,0.47,1.9,1.29,1614.06,2196,Standard Shipping
ORD-86BEAFAD,11/13/2025,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Perishable Foods,18,19,18,0,On Time,None,0.83,9.6,4.97,7432.55,8123,Standard Shipping
ORD-D81A3126,1/19/2025,"Mumbai, IN","Felixstowe, UK",Suez,Sea,Auto Parts,24,27,24,0,On Time,None,0.22,3.2,4.96,4126.04,6764,Standard Shipping
ORD-F12151A3,11/8/2024,"Santos, BR","Shanghai, CN",Commodity,Air,Pharmaceuticals,4,5,4,0,On Time,None,0.57,7,3.35,50799.7,5883,Standard Shipping
ORD-8B089865,12/16/2025,"Mumbai, IN","Felixstowe, UK",Suez,Sea,Textiles,24,25,24,0,On Time,None,0.44,4.3,1.04,1134,1575,Standard Shipping
ORD-EBDC1BED,2/14/2025,"Shenzhen, CN","Rotterdam, NL",Suez,Sea,Auto Parts,28,30,27,0,On Time,None,0.53,8.7,0.69,2063.2,2697,Standard Shipping
ORD-6DBE45C6,7/22/2024,"Santos, BR","Shanghai, CN",Commodity,Sea,Consumer Electronics,35,37,35,0,On Time,None,0.6,4.4,5.02,4125.6,5157,Standard Shipping
ORD-E0C2AA87,10/20/2025,"Tokyo, JP","Singapore, SG",Intra-Asia,Air,Pharmaceuticals,2,3,1,0,On Time,None,0.7,3.5,3.76,18681.3,1998,Standard Shipping
ORD-D8D6E4C3,11/25/2024,"Santos, BR","Shanghai, CN",Commodity,Air,Pharmaceuticals,4,5,3,0,On Time,None,0.25,9.5,2.81,49520.62,7203,Standard Shipping
ORD-E565112F,3/17/2025,"Hamburg, DE","New York, US",Atlantic,Air,Semiconductors,2,3,2,0,On Time,None,0.33,3.7,3.41,32932.13,4502,Standard Shipping
ORD-472D41A1,12/23/2025,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Consumer Electronics,18,20,18,0,On Time,None,0.89,1.1,2.56,7652.61,8098,Standard Shipping
ORD-D33B0C0D,1/10/2025,"Shenzhen, CN","Rotterdam, NL",Suez,Sea,Pharmaceuticals,28,30,28,0,On Time,None,0.14,7,3.55,5595.12,9816,Standard Shipping
ORD-3D776B39,2/5/2025,"Tokyo, JP","Singapore, SG",Intra-Asia,Sea,Textiles,7,10,7,0,On Time,None,0.38,8.3,2.06,5365.44,7776,Standard Shipping
ORD-689C3DF0,2/9/2025,"Tokyo, JP","Singapore, SG",Intra-Asia,Sea,Perishable Foods,7,8,7,0,On Time,None,0.13,5.9,3.82,2803.53,4962,Standard Shipping
ORD-63BA676A,9/20/2025,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Pharmaceuticals,18,19,27,8,Late,Severe Weather (Typhoon/Storm),0.74,8,4.06,10066.25,6428,Expedited Air Freight
ORD-CA42745E,1/23/2024,"Hamburg, DE","New York, US",Atlantic,Air,Pharmaceuticals,2,3,3,0,On Time,None,0.21,1.1,4.51,35377.98,5316,Standard Shipping
ORD-A982158D,3/26/2025,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Auto Parts,18,20,18,0,On Time,None,0.7,0.7,4.05,727.6,856,Standard Shipping
ORD-6535E8F4,6/26/2024,"Tokyo, JP","Singapore, SG",Intra-Asia,Sea,Pharmaceuticals,7,9,7,0,On Time,None,0.87,2.4,4.32,4796.55,5130,Standard Shipping
ORD-7603D1EE,8/20/2025,"Santos, BR","Shanghai, CN",Commodity,Sea,Consumer Electronics,35,37,35,0,On Time,None,0.44,4.9,4.74,3759.12,5221,Standard Shipping
ORD-A9F4BE93,4/13/2024,"Tokyo, JP","Singapore, SG",Intra-Asia,Sea,Auto Parts,7,8,7,0,On Time,None,0.41,5.3,2.94,6891.38,9775,Standard Shipping
ORD-579C48A4,9/30/2025,"Hamburg, DE","New York, US",Atlantic,Sea,Auto Parts,12,13,11,0,On Time,None,0.34,8.6,3.75,1606.66,2398,Standard Shipping
ORD-9A83F185,2/10/2024,"Mumbai, IN","Felixstowe, UK",Suez,Sea,Textiles,24,27,24,0,On Time,None,0.58,5.2,3.8,4653.89,5891,Standard Shipping
ORD-F6767294,7/4/2025,"Tokyo, JP","Singapore, SG",Intra-Asia,Sea,Semiconductors,7,8,6,0,On Time,None,0.24,4.1,4.01,5695.94,9187,Standard Shipping
ORD-F2CBF0BF,2/13/2025,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Perishable Foods,18,20,19,0,On Time,None,0.3,0.5,1.7,126.1,194,Standard Shipping
ORD-61622BC3,11/22/2025,"Shenzhen, CN","Rotterdam, NL",Suez,Air,Pharmaceuticals,3,5,3,0,On Time,None,0.85,0.4,3.18,28958.05,2846,Standard Shipping
ORD-723F4412,6/7/2025,"Santos, BR","Shanghai, CN",Commodity,Sea,Perishable Foods,35,38,35,0,On Time,None,0.54,0.4,3.29,5721.1,7430,Standard Shipping
ORD-91AEBF01,3/23/2024,"Santos, BR","Shanghai, CN",Commodity,Sea,Consumer Electronics,35,38,36,0,On Time,None,0.87,9,3.2,623.64,667,Standard Shipping
ORD-E99CEE07,7/14/2025,"Shenzhen, CN","Rotterdam, NL",Suez,Sea,Raw Materials,28,30,29,0,On Time,None,0.23,0.7,4.83,979.08,1592,Standard Shipping
ORD-90A9B9E3,5/1/2025,"Shenzhen, CN","Rotterdam, NL",Suez,Air,Semiconductors,3,6,3,0,On Time,None,0.16,7,3.98,27746.62,4349,Standard Shipping
ORD-8CC44720,12/2/2024,"Tokyo, JP","Singapore, SG",Intra-Asia,Sea,Auto Parts,7,10,7,0,On Time,None,0.5,0.5,3.88,2999.25,3999,Standard Shipping
ORD-8E8787DE,1/3/2025,"Mumbai, IN","Felixstowe, UK",Suez,Sea,Auto Parts,24,26,25,0,On Time,None,0.11,3.9,3.44,341.33,615,Standard Shipping
ORD-60A23C98,4/23/2024,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Consumer Electronics,18,19,18,0,On Time,None,0.55,5,3.35,2166.9,2796,Standard Shipping
ORD-98953524,1/12/2025,"Mumbai, IN","Felixstowe, UK",Suez,Sea,Consumer Electronics,24,27,24,0,On Time,None,0.17,3.4,3.65,4544.86,7769,Standard Shipping
ORD-F07691D6,11/20/2025,"Santos, BR","Shanghai, CN",Commodity,Sea,Perishable Foods,35,38,34,0,On Time,None,0.76,4.7,4.89,3593.92,4084,Standard Shipping
ORD-79E7B900,6/29/2024,"Santos, BR","Shanghai, CN",Commodity,Sea,Auto Parts,35,37,35,0,On Time,None,0.19,0,2.98,5422.23,9113,Standard Shipping
ORD-C36BAE07,10/24/2025,"Hamburg, DE","New York, US",Atlantic,Air,Semiconductors,2,5,8,3,Late,Port Congestion,0.64,3.4,3.31,103555.91,6958,Expedited Air Freight
ORD-AFFF6715,11/22/2025,"Mumbai, IN","Felixstowe, UK",Suez,Sea,Semiconductors,24,27,22,0,On Time,None,0.29,3.8,1.88,2730.28,4233,Standard Shipping
ORD-35B5EF95,4/7/2024,"Shenzhen, CN","Rotterdam, NL",Suez,Sea,Textiles,28,31,30,0,On Time,None,0.24,7.5,5.14,5815.6,9380,Standard Shipping
ORD-741DA2A5,5/4/2025,"Shanghai, CN","Los Angeles, US",Pacific,Air,Semiconductors,2,5,2,0,On Time,None,0.57,2.4,5.6,65677.81,7606,Standard Shipping
ORD-36089AC5,7/1/2025,"Hamburg, DE","New York, US",Atlantic,Sea,Perishable Foods,12,15,19,4,Late,Port Congestion,0.19,1.3,4.51,5192.15,7933,Standard Shipping
ORD-80BB1506,12/23/2024,"Tokyo, JP","Singapore, SG",Intra-Asia,Air,Pharmaceuticals,2,4,2,0,On Time,None,0.46,3,3.22,3468.96,432,Standard Shipping
ORD-92217F0F,6/10/2025,"Shenzhen, CN","Rotterdam, NL",Suez,Sea,Consumer Electronics,28,29,26,0,On Time,None,0.18,8.3,2.39,1233.1,2090,Standard Shipping
ORD-3C2B78AB,1/2/2025,"Hamburg, DE","New York, US",Atlantic,Sea,Perishable Foods,12,14,12,0,On Time,None,0.72,7.3,2.16,6267.68,7288,Standard Shipping
ORD-5933B38A,7/11/2025,"Mumbai, IN","Felixstowe, UK",Suez,Sea,Textiles,24,27,24,0,On Time,None,0.79,8.2,3.15,4435.62,4956,Standard Shipping
ORD-D4520D55,12/25/2025,"Shanghai, CN","Los Angeles, US",Pacific,Air,Pharmaceuticals,2,3,1,0,On Time,None,0.67,7.6,3.99,45226.94,4924,Standard Shipping
ORD-D4853D49,3/2/2025,"Hamburg, DE","New York, US",Atlantic,Sea,Auto Parts,12,15,12,0,On Time,None,0.28,1.3,3.64,1128.32,1763,Standard Shipping
ORD-721FA6D7,7/16/2024,"Mumbai, IN","Felixstowe, UK",Suez,Sea,Raw Materials,24,25,24,0,On Time,None,0.83,5.4,3.92,4631.73,5062,Standard Shipping
ORD-41DC62AF,3/13/2025,"Hamburg, DE","New York, US",Atlantic,Sea,Raw Materials,12,14,12,0,On Time,None,0.34,7.3,5.07,5650.78,8434,Standard Shipping
ORD-9E97E0C1,11/11/2024,"Shenzhen, CN","Rotterdam, NL",Suez,Sea,Textiles,28,30,28,0,On Time,None,0.46,3.8,1.68,1568.04,2148,Standard Shipping
ORD-371653A8,6/7/2025,"Hamburg, DE","New York, US",Atlantic,Sea,Raw Materials,12,14,12,0,On Time,None,0.51,5.6,5.01,7455.62,9875,Standard Shipping
ORD-2B0F92E2,8/29/2024,"Hamburg, DE","New York, US",Atlantic,Sea,Auto Parts,12,15,19,4,Late,Port Congestion,0.74,8.3,2.18,4572.55,4778,Standard Shipping
ORD-F92A019D,3/4/2025,"Tokyo, JP","Singapore, SG",Intra-Asia,Air,Pharmaceuticals,2,4,2,0,On Time,None,0.28,4.2,3.63,61339.52,8713,Standard Shipping
ORD-A74272C2,9/16/2025,"Hamburg, DE","New York, US",Atlantic,Sea,Consumer Electronics,12,14,12,0,On Time,None,0.55,3.8,4.89,3175.18,4097,Standard Shipping
ORD-05934BF8,5/20/2025,"Santos, BR","Shanghai, CN",Commodity,Sea,Perishable Foods,35,36,35,0,On Time,None,0.49,3.9,1.99,2208.18,2964,Standard Shipping
